fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging,
"susan morrow I know, right?",27,5,1,1,21,1,0,1,0,0,,"{""VP"": {""VBP"": 1, ""VBP#SBAR#,#ADVP"": 1}, ""SBAR"": {""S"": 1}}",0.0,1.0,0.0,"{""^"": 1, ""N"": 1, ""O"": 1, ""V"": 1, "","": 2, ""R"": 1}","['{""^"": 1, ""N"": 1, ""O"": 1, ""V"": 1, "","": 2, ""R"": 1}']"
Diana Rabbe Indeed,18,3,1,0,21,1,0,1,0,0,,"{""NP"": {""NNP#NNP#NNP"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""^"": 2, ""R"": 1}","['{""^"": 2, ""R"": 1}']"
Bruce Dennler Cheers,20,3,1,0,20,1,0,1,0,0,,"{""NP"": {""NNP#NNP#NNP"": 1}, ""ROOT"": {""NP"": 1}}",0.0,0.392,0.608,"{""^"": 3}","['{""^"": 3}']"
"GPaul 5/ I suspect everyone knows this but, re: my pinned tweet, you can click on the arrows in the bottom right corner of the video to enlarge it (actually took me *more minutes than I care to admit* to remember that)",218,42,1,23,20,1,0,1,0,0,,"{""NP"": {""CD"": 1, ""PRP$#JJ#NN"": 1, ""NP#:#NP"": 1, ""NP#PRN"": 2, ""DT#NNS"": 1, ""DT#JJ#NN#NN"": 1, ""DT#NN#S"": 1, ""QP#NNS"": 1, ""DT"": 1}, ""ADVP"": {""DT#CC"": 1}, ""VP"": {""VBZ#ADVP"": 1, ""VBP#SBAR"": 1, ""VB#X"": 1, ""VBP#S#S"": 1, ""ADVP#VBD#NP#SBAR"": 1, ""VB#PP"": 1, ""MD#VP"": 1}, ""S"": {""S#,#NP#VP"": 1}, ""SBAR"": {""S"": 1, ""NP#IN#S"": 1}, ""PRN"": {"":#S#,#NP"": 1, ""-LRB-#VP#-RRB-"": 1}, ""QP"": {""CD#JJR"": 1}, ""X"": {""SYM"": 1}}",0.036,0.866,0.098,"{""^"": 1, "","": 8, ""O"": 7, ""V"": 9, ""N"": 8, ""&"": 1, ""D"": 4, ""A"": 3, ""P"": 7, ""R"": 1}","['{""^"": 1, "","": 8, ""O"": 7, ""V"": 9, ""N"": 8, ""&"": 1, ""D"": 4, ""A"": 3, ""P"": 7, ""R"": 1}']"
SaveDemocracy I did not need that image,39,7,1,5,20,1,0,1,0,0,,"{""VP"": {""VBD#RB#VP"": 1}, ""SBAR"": {""S"": 1}, ""ADJP"": {""RB#SBAR"": 1}, ""ROOT"": {""ADJP"": 1}}",0.0,1.0,0.0,"{""G"": 1, ""O"": 1, ""V"": 2, ""R"": 1, ""D"": 1, ""N"": 1}","['{""G"": 1, ""O"": 1, ""V"": 2, ""R"": 1, ""D"": 1, ""N"": 1}']"
"GPaul 4/ Actually *now* what I'm wondering is, ""Is Jeffrey Epstein's Ghost going to follow Trump around like The Trump Baby?"" ",126,21,1,8,20,1,1,1,0,0,,"{""NP"": {""CD#NNS"": 1, ""RB"": 1, ""NNP#NNP#POS"": 1, ""NP#NN"": 1, ""DT#NNP#NNP"": 1}, ""ADVP"": {""ADVP#SBAR"": 1}, ""X"": {""SYM"": 2, ""X#NP"": 1, ""WP"": 1}, ""VP"": {""VBG"": 1, ""VBP#VP"": 1, ""VB#NP#PRT#PP"": 1, ""VBG#S"": 1, ""VBZ#,#SQ"": 1, ""VB#NP#ADVP"": 1}, ""S"": {""X#X#NP#VP"": 1, ""S#VP"": 1}, ""PRT"": {""RP"": 1}, ""SQ"": {""``#VBZ#NP#VP#."": 1}, ""SBAR"": {""X#S"": 1}}",0.097,0.798,0.105,"{""^"": 4, "","": 7, ""R"": 2, ""O"": 1, ""L"": 1, ""V"": 5, ""Z"": 1, ""N"": 2, ""P"": 3, ""D"": 1}","['{""^"": 4, "","": 7, ""R"": 2, ""O"": 1, ""L"": 1, ""V"": 5, ""Z"": 1, ""N"": 2, ""P"": 3, ""D"": 1}']"
See my pinned tweet ,20,4,1,2,20,1,0,0,1,0,👇:1,"{""NP"": {""PRP$#JJ#NN"": 1}}",0.0,1.0,0.0,"{""V"": 1, ""D"": 1, ""A"": 1, ""N"": 1}","['{""V"": 1, ""D"": 1, ""A"": 1, ""N"": 1}']"
"3/ GPaul just had the tweet of the day Now I can't unsee this GIF as Trump pointing up at Jeffrey Epstein's ""ghost"" ",116,23,1,14,20,1,0,1,1,0,,"{""NP"": {""CD"": 1, ""DT#NNP#IN#NNP"": 1, ""NNP#NNP#POS"": 1, ""NP#``#NP"": 1}, ""PRT"": {""RP"": 1}, ""VP"": {""VBG#PRT#PP"": 1, ""VB#NP#S"": 1, ""MD#RB#VP"": 1, ""VBD#NP#SBAR"": 1}, ""S"": {""NP#ADVP#VP"": 1}, ""SBAR"": {""RB#S"": 1}, ""FRAG"": {""NP#:#S"": 1}, ""ROOT"": {""FRAG"": 1}}",0.0,1.0,0.0,"{""G"": 2, ""R"": 2, ""V"": 4, ""D"": 3, ""N"": 4, ""P"": 3, ""O"": 1, ""^"": 2, ""T"": 1, ""Z"": 1, "","": 2}","['{""G"": 2, ""R"": 2, ""V"": 4, ""D"": 3, ""N"": 4, ""P"": 3, ""O"": 1, ""^"": 2, ""T"": 1, ""Z"": 1, "","": 2}']"
"2/ I was going to say I wonder how many who see this will be confused about who it is they're seeing but then I realized that Jeffrey Epstein, besides being a longtime pal, adviser, andper his claimsbusiness partner of Donald Trump is the most famous late pedophile in the world",278,51,1,30,20,1,0,0,0,0,,"{""NP"": {""CD"": 1, ""DT"": 1, ""DT#JJ#NN"": 1, ""NP#,#NP"": 1, ""PRP$#JJ#NN"": 1, ""DT#ADJP#JJ#NN"": 1}, ""WHADJP"": {""WRB#JJ"": 1}, ""WHNP"": {""WP"": 2}, ""VP"": {""VBZ#NP"": 2, ""VB#ADJP"": 1, ""MD#VP"": 1, ""VBP#SBAR"": 3, ""VBG"": 1, ""VBP#VP"": 1, ""VBG#NP"": 1, ""VBD#SBAR"": 1, ""VB#SBAR"": 1, ""VBG#S"": 1, ""VBD#VP"": 1}, ""S"": {""SBAR#VP"": 1, ""NP#,#PP#,#VP"": 1, ""ADVP#NP#VP"": 1, ""S#CC#S"": 1}, ""SBAR"": {""WHNP#S"": 2, ""S"": 3, ""IN#S"": 1, ""WHADJP#S"": 1}, ""PP"": {""IN#SBAR"": 1, ""IN#S"": 1}, ""ADJP"": {""VBN#PP"": 1, ""RBS#JJ"": 1}, ""FRAG"": {""NP#:#S"": 1}, ""ROOT"": {""FRAG"": 1}}",0.035,0.965,0.0,"{""$"": 1, ""O"": 7, ""V"": 13, ""P"": 5, ""R"": 3, ""A"": 5, ""D"": 5, ""L"": 1, ""&"": 1, ""^"": 4, "","": 3, ""N"": 6}","['{""$"": 1, ""O"": 7, ""V"": 13, ""P"": 5, ""R"": 3, ""A"": 5, ""D"": 5, ""L"": 1, ""&"": 1, ""^"": 4, "","": 3, ""N"": 6}']"
"1/ Frankly, I can't imagine how awkward it is to know that a 50-foot-high projection of the pedophile who (even in death) could somehow find a way to bring down your presidency is hovering over your head and visible to all while you're trying to be arrogant and engagingly racist",279,50,1,29,20,1,0,0,0,0,,"{""NP"": {""CD"": 1, ""DT#JJ#NN"": 1, ""DT#NN#S"": 1, ""NP#SBAR"": 2, ""DT"": 1}, ""WHADJP"": {""WRB#JJ"": 1}, ""WHNP"": {""WP"": 1}, ""PP"": {""ADVP#IN#NP"": 1}, ""PRN"": {""-LRB-#PP#-RRB-"": 1}, ""PRT"": {""RP"": 2}, ""VP"": {""VB#PRT#NP"": 1, ""MD#ADVP#VP"": 1, ""VBG#PRT#NP"": 1, ""VBZ#VP"": 1, ""VB#SBAR"": 2, ""VBZ#S"": 1, ""MD#RB#VP"": 1, ""VB#ADJP"": 1, ""VBG#S"": 1, ""VBP#VP"": 1, ""VBZ"": 1}, ""S"": {""PRN#VP"": 1, ""ADJP"": 1, ""S#VP"": 1, ""ADVP#,#S#CC#S"": 1}, ""SBAR"": {""WHNP#S"": 1, ""IN#S"": 2, ""WHADJP#S"": 1}, ""ADJP"": {""JJ#CC#JJ"": 1, ""JJ#PP"": 1}, ""FRAG"": {""NP#:#S"": 1}, ""ROOT"": {""FRAG"": 1}}",0.133,0.794,0.073,"{""$"": 2, ""R"": 5, "","": 3, ""O"": 3, ""V"": 11, ""A"": 4, ""P"": 9, ""D"": 6, ""N"": 6, ""T"": 1, ""&"": 2, ""L"": 1}","['{""$"": 2, ""R"": 5, "","": 3, ""O"": 3, ""V"": 11, ""A"": 4, ""P"": 9, ""D"": 6, ""N"": 6, ""T"": 1, ""&"": 2, ""L"": 1}']"
"GENIUSthis is WELL worth a retweet Looks like, for anyone with a cellso, everyoneTrump is about to give a 2-hour speech beneath a giant virtual Epstein I might actually watch nowas I'll be picturing a 50-foot-high ghost of Trump's pedophile pal over his head the whole time",273,47,1,22,20,1,0,0,1,0,,"{""NP"": {""DT#JJ#NN"": 3, ""DT#JJ#JJ#NN"": 1, ""NP#SBAR"": 2, ""NNP#POS"": 1, ""NP#JJ#NN"": 1, ""NP#PP#NP"": 1}, ""VP"": {""VB#NP#PP"": 1, ""IN#S"": 1, ""VBZ#VP"": 1, ""VBG#NP"": 1, ""VB#VP"": 1, ""MD#VP"": 1, ""MD#ADVP#VP"": 1, ""VBZ#SBAR"": 1, ""VBZ#ADJP"": 1}, ""S"": {"",#PP#,#NP#NP#VP"": 1}, ""SBAR"": {""S"": 3, ""IN#S"": 1}, ""ADJP"": {""RB#JJ#SBAR"": 1}}",0.049,0.795,0.155,"{""^"": 4, ""V"": 9, ""R"": 2, ""D"": 7, ""N"": 9, ""P"": 8, "","": 2, ""$"": 2, ""A"": 3, ""O"": 1, ""L"": 1, ""Z"": 1}","['{""^"": 4, ""V"": 9, ""R"": 2, ""D"": 7, ""N"": 9, ""P"": 8, "","": 2, ""$"": 2, ""A"": 3, ""O"": 1, ""L"": 1, ""Z"": 1}']"
"UPSHOT/ It was too much for me to call Cornyn ""popular""; I suppose what I was thinking was (a) he's above water, (b) 27 of 38 Texas Congresspeople are Republican, and (c) though my understanding is that Texas doesn't register people by party, it's presumed to be a GOP advantage.",279,50,1,31,16,1,0,0,0,0,,{},0.0,0.905,0.095,"{""N"": 9, ""O"": 6, ""V"": 13, ""R"": 1, ""A"": 3, ""P"": 7, ""^"": 3, "","": 13, ""D"": 3, ""L"": 2, ""$"": 2, ""&"": 1}","['{""N"": 9, ""O"": 6, ""V"": 13, ""R"": 1, ""A"": 3, ""P"": 7, ""^"": 3, "","": 13, ""D"": 3, ""L"": 2, ""$"": 2, ""&"": 1}']"
"10/ Those noting that Cornyn isn't as popular now as he was (+5 in late 2018, +1 in early 2019) are right. (Note: for referencesee below""-3"" gets you just inside the 10 least popular senators, and +27 gets you just inside the 10 most popular senators.)",252,46,1,27,16,1,0,0,1,0,,"{""NP"": {""CD"": 5, ""DT"": 1, ""NP#VP"": 1, ""RB#CD"": 1, ""JJ#CD"": 1, ""NP#,#NP"": 1, ""NP#PRN"": 1, ""DT#CD#JJS#JJ#NNS"": 2}, ""ADJP"": {""RB#JJ"": 1, ""JJ"": 1}, ""VP"": {""VBD"": 1, ""VBZ#RB#ADJP#SBAR"": 1, ""VBG#SBAR"": 1, ""VBP#ADJP"": 1, ""VB#PP"": 1, ""VBZ#NP#ADVP#PP"": 2}, ""S"": {""PP"": 1, ""NP#:#S#VP"": 1, ""-LRB-#S#,#CC#S#.#-RRB-"": 1}, ""SBAR"": {""ADVP#IN#S"": 1, ""IN#S"": 1}, ""PP"": {""IN#S"": 1}, ""PRN"": {""-LRB-#NP#-RRB-"": 1}, ""FRAG"": {""NP#:#S#."": 1}, ""ROOT"": {""FRAG"": 1}}",0.14,0.86,0.0,"{""$"": 8, ""O"": 4, ""V"": 6, ""P"": 8, ""^"": 1, ""R"": 5, ""A"": 7, "","": 10, ""N"": 4, ""D"": 2, ""&"": 1, ""E"": 1}","['{""$"": 8, ""O"": 4, ""V"": 6, ""P"": 8, ""^"": 1, ""R"": 5, ""A"": 7, "","": 10, ""N"": 4, ""D"": 2, ""&"": 1, ""E"": 1}']"
"Warren/Harris or Harris/Warren would be *amazing*, IMO. I believe the political establishment would prevent it, however (and I'm not defending that *whatsoever*). I only don't list it because I believe neither Warren nor Harris would choose it, on the advice of their consultants.",280,43,1,20,16,1,0,0,1,0,,"{""NP"": {""NNP#CC#NNP"": 1, ""DT#JJ#NN"": 1, ""RB#JJ"": 1, ""CC#NP#CC#NP"": 1, ""PRP$#NNS"": 1}, ""ADJP"": {""RB#JJ"": 1}, ""VP"": {""VB#ADJP#ADVP#,#ADVP"": 1, ""MD#VP"": 3, ""VBP#SBAR#,#ADVP"": 1, ""VBG#SBAR"": 1, ""VBP#RB#VP"": 2, ""VB#NP#,#PP"": 1, ""VBP#SBAR"": 1, ""VB#NP#SBAR"": 1}, ""S"": {""S#PRN#."": 1, ""NP#ADVP#VP#."": 1}, ""SBAR"": {""S"": 2, ""IN#FRAG"": 1, ""IN#S"": 1}, ""X"": {""SYM"": 1}, ""FRAG"": {""X#NP"": 1}, ""PRN"": {""-LRB-#CC#S#-RRB-"": 1}}",0.0,0.973,0.027,"{""^"": 5, ""&"": 3, ""V"": 11, "","": 11, ""A"": 2, ""O"": 7, ""D"": 4, ""N"": 3, ""R"": 4, ""L"": 1, ""P"": 3}","['{""^"": 5, ""&"": 3, ""V"": 11, "","": 11, ""A"": 2, ""O"": 7, ""D"": 4, ""N"": 3, ""R"": 4, ""L"": 1, ""P"": 3}']"
Nutritional Yeet I really don't like when people purposefully misspell names to slight someone,94,14,1,5,16,1,0,1,0,0,,"{""NP"": {""JJ#NNS"": 1, ""JJ#NN"": 1, ""NP#SBAR"": 1}, ""WHADVP"": {""WRB"": 1}, ""VP"": {""VBP#NP#PP"": 1, ""VB#SBAR"": 1, ""VBP#RB#VP"": 1}, ""S"": {""NP#ADVP#VP"": 1}, ""SBAR"": {""WHADVP#S"": 1, ""S"": 1}, ""FRAG"": {""NP"": 1}, ""ROOT"": {""FRAG"": 1}}",0.166,0.834,0.0,"{""N"": 4, ""R"": 4, ""O"": 1, ""V"": 3, ""P"": 1, ""A"": 1}","['{""N"": 4, ""R"": 4, ""O"": 1, ""V"": 3, ""P"": 1, ""A"": 1}']"
"Stephanie Rewis I'd love it, but believe current political moreswhich I am not defending whatsoeverwouldn't allow putting two women on the ticket, and though the two I'm sure have no respect whatsoever for those mores, I believe Warren and Harris would nevertheless be pushed to ""abide"" by them",294,48,1,24,16,1,0,1,0,0,,"{""NP"": {""JJ#JJ#NN"": 1, ""NP#SBAR"": 3, ""CD#NNS"": 1, ""DT#CD"": 1, ""DT#NN#RB"": 1, ""DT#NNS"": 1, ""NNP#CC#NNP"": 1}, ""VP"": {""MD#VP"": 1, ""VBG"": 1, ""VBP#RB#VP"": 1, ""VBP#NP"": 2, ""VP#,#CC#VP"": 1, ""VBG#NP#PP"": 1, ""VB#S"": 1, ""VBD#RB#VP"": 1, ""VBP#ADJP"": 1, ""``#VB#PP"": 1, ""VBN#S"": 1, ""VB#VP"": 1, ""MD#ADVP#VP"": 1, ""VBP#SBAR"": 1}, ""S"": {""SBAR#,#NP#VP"": 1, ""S#,#CC#S"": 1}, ""SBAR"": {""S"": 4, ""IN#S"": 1}, ""ADJP"": {""JJ"": 1}}",0.051,0.742,0.207,"{""^"": 4, ""L"": 2, ""V"": 12, ""O"": 5, "","": 5, ""&"": 3, ""A"": 3, ""N"": 5, ""R"": 3, ""$"": 2, ""P"": 5, ""D"": 4}","['{""^"": 4, ""L"": 2, ""V"": 12, ""O"": 5, "","": 5, ""&"": 3, ""A"": 3, ""N"": 5, ""R"": 3, ""$"": 2, ""P"": 5, ""D"": 4}']"
Mary Kay Dieterich (Forti) Not saying he's running for VPOTUS He is running for POTUS I'm imagining what his team might be seeing *at the moment* when they look at where he stands in the big picture Anything could change at any time,232,43,1,26,16,1,0,1,0,0,,"{""NP"": {""NNP#NNP#NNP"": 1, ""NP#SBAR"": 1, ""DT#JJ#NN#NN"": 1, ""NP#X#SBAR"": 1}, ""PRN"": {""-LRB-#NP#-RRB-"": 1}, ""PP"": {""RB#S"": 1, ""IN#SBAR"": 1}, ""VP"": {""VBG#PP"": 2, ""VBZ#VP"": 2, ""VBG#SBAR"": 2, ""VBG"": 1, ""VB#VP"": 1, ""MD#VP"": 2, ""VBP#VP"": 1, ""VB#PP"": 1, ""VBZ#SBAR"": 1, ""VBP#PP"": 1}, ""S"": {""PP#NP#VP"": 1, ""SBAR#NP#VP"": 1}, ""SBAR"": {""S"": 2, ""PRN#S"": 1, ""WHNP#S"": 1, ""IN#S"": 1, ""WHADVP#S"": 2}, ""WHNP"": {""WP"": 1}, ""X"": {""SYM"": 2, ""X#PP"": 1}, ""WHADVP"": {""WRB"": 2}, ""FRAG"": {""NP#X"": 1}, ""ROOT"": {""FRAG"": 1}}",0.0,1.0,0.0,"{""^"": 6, "","": 4, ""R"": 3, ""V"": 12, ""L"": 2, ""P"": 6, ""O"": 4, ""D"": 4, ""N"": 5, ""A"": 1}","['{""^"": 6, "","": 4, ""R"": 3, ""V"": 12, ""L"": 2, ""P"": 6, ""O"": 4, ""D"": 4, ""N"": 5, ""A"": 1}']"
"RockSavior Much to like about both of them but two well-left progressives on one ticket absolutely, 100% will not happen That's not how ticket-building works (And haven't heard anyone suggesting a Sanders/Warren ticket, either; they're going to have to fight one another directly and soon)",289,45,1,22,16,1,0,1,0,0,🎸:1,"{""NP"": {""RB"": 1, ""DT"": 2, ""CD#JJ#NNS"": 1, ""CD#NN#RB"": 1, ""CD#NN"": 1, ""NP#,#NP"": 1, ""DT#JJ#NN"": 1, ""NP#,#ADVP"": 1, ""CD#DT"": 1, ""NP#:#S"": 1}, ""WHADVP"": {""WRB"": 1}, ""VP"": {""VBZ"": 1, ""VB#NP#ADVP"": 1, ""VB#S"": 1, ""VBG#S"": 1, ""VBP#VP"": 1, ""VBG#NP"": 1, ""VBN#NP#S"": 1, ""VBP#RB#VP"": 1, ""VBZ#RB#SBAR#PRN"": 1, ""VB#SBAR"": 1, ""MD#RB#VP"": 1, ""VB#PP#SBAR"": 1, ""VB#NP#S"": 1}, ""SBAR"": {""WHADVP#S"": 1, ""S"": 1, ""CC#S"": 1}, ""ADVP"": {""RB#CC#RB"": 1}, ""FRAG"": {""CC#S"": 1}, ""PRN"": {""-LRB-#FRAG#-RRB-"": 1}}",0.072,0.891,0.037,"{""R"": 7, ""A"": 2, ""P"": 6, ""V"": 10, ""O"": 2, ""&"": 4, ""$"": 4, ""N"": 5, "","": 5, ""L"": 2, ""D"": 2, ""^"": 1}","['{""R"": 7, ""A"": 2, ""P"": 6, ""V"": 10, ""O"": 2, ""&"": 4, ""$"": 4, ""N"": 5, "","": 5, ""L"": 2, ""D"": 2, ""^"": 1}']"
"Mark Hartig Luke Cavanagh Agreed! And I'm not suggesting that that'll happen here. I think the winner will pick someone from the field who ran strong (and for a long time, if possible) but not someone who was a direct, significant threat to their candidacy well into the primaries.",281,49,1,28,16,1,0,2,0,0,,"{""NP"": {""NNP#NNP#NNP#NNP#NNP#."": 1, ""DT"": 1, ""DT#JJ#NN"": 1, ""NP#,#SBAR"": 1, ""NP#SBAR#PRN"": 1, ""DT#JJ#,#JJ#NN"": 1, ""DT#NNS"": 1, ""NP#ADVP"": 1, ""NP#SBAR"": 1, ""NP#CONJP#NP"": 1}, ""ROOT"": {""NP"": 1}, ""ADVP"": {""RB#PP"": 1}, ""VP"": {""VB#ADVP"": 1, ""MD#VP"": 2, ""VBG#SBAR"": 1, ""VBP#RB#VP"": 1, ""VBD#ADJP"": 1, ""VBD#NP#PP"": 1, ""VB#NP#PP"": 1, ""VBP#SBAR"": 1}, ""S"": {""CC#NP#VP#."": 1}, ""SBAR"": {""IN#S"": 1, ""WHNP#S"": 2, ""IN#FRAG"": 1, ""S"": 1}, ""WHNP"": {""WP"": 2}, ""ADJP"": {""JJ"": 1}, ""FRAG"": {""JJ"": 1, ""CC#PP"": 1}, ""PRN"": {""-LRB-#FRAG#-RRB-"": 1}, ""CONJP"": {""CC#RB"": 1}}",0.082,0.716,0.201,"{""^"": 4, ""V"": 8, "","": 7, ""&"": 3, ""L"": 2, ""R"": 4, ""O"": 4, ""D"": 6, ""N"": 8, ""P"": 5, ""A"": 5}","['{""^"": 4, ""V"": 8, "","": 7, ""&"": 3, ""L"": 2, ""R"": 4, ""O"": 4, ""D"": 6, ""N"": 8, ""P"": 5, ""A"": 5}']"
"Luke Cavanagh Well, Biden was a primary candidate in 2008. Edwards was a primary candidate in 2004. Gore wasn't a primary candidate in 1992, admittedly, but he had been in 1988. And Hillary breaking with tradition and picking Kaine was see as something of a disaster. So...",273,47,1,23,16,1,0,1,0,0,,"{""NP"": {""DT#JJ#NN"": 3, ""CD"": 4, ""NP#VP"": 1}, ""S"": {""NP#ADVP"": 1, ""S#,#NP#VP#."": 1, ""S#,#CC#S#."": 1, ""CC#NP#VP#."": 1}, ""VP"": {""VBD#NP"": 2, ""VBD#RB#NP#,#ADVP"": 1, ""VBN#PP"": 1, ""VBD#VP"": 1, ""VBG#PP"": 1, ""VBG#NP"": 1, ""VP#CC#VP"": 1, ""VB#PP"": 1, ""VBD#S"": 1}, ""ROOT"": {""FRAG"": 1}, ""FRAG"": {""ADVP#:"": 1}}",0.117,0.851,0.032,"{""^"": 7, ""!"": 1, "","": 8, ""V"": 9, ""D"": 4, ""A"": 3, ""N"": 6, ""P"": 7, ""$"": 4, ""R"": 2, ""&"": 3, ""O"": 1}","['{""^"": 7, ""!"": 1, "","": 8, ""V"": 9, ""D"": 4, ""A"": 3, ""N"": 6, ""P"": 7, ""$"": 4, ""R"": 2, ""&"": 3, ""O"": 1}']"
"Camille Cannon I think it'd be amazing, but I don't think political mores at the moment will allow it",101,19,1,9,16,1,0,1,0,0,,"{""NP"": {""JJ#NNS"": 1, ""NP#SBAR"": 1}, ""ADJP"": {""JJ"": 1}, ""VP"": {""VB#ADJP"": 1, ""MD#VP"": 2, ""VB#NP#PP"": 1, ""VBP#RB#VP"": 1, ""VBP#SBAR"": 1}, ""S"": {""S#,#CC#S"": 1}, ""SBAR"": {""S"": 2}}",0.0,0.759,0.241,"{""^"": 2, ""O"": 3, ""V"": 6, ""L"": 1, ""A"": 2, "","": 1, ""&"": 1, ""N"": 2, ""P"": 1, ""D"": 1}","['{""^"": 2, ""O"": 3, ""V"": 6, ""L"": 1, ""A"": 2, "","": 1, ""&"": 1, ""N"": 2, ""P"": 1, ""D"": 1}']"
"Keith Whitson, MBA I think Abrams is great but don't see a POTUS nom picking a VPOTUS outside the fieldas the field is so talented, and those in it have the best name-recognition. Also, Abrams' highest office was GA state repan issue for Buttigieg too, but he's building cred as a POTUS candidate.",297,53,1,27,16,1,0,1,0,0,,"{""NP"": {""DT#NNP#NN"": 2, ""DT#NNS"": 2, ""DT"": 1, ""DT#JJS#NN"": 1, ""NNP#POS"": 1, ""NP#JJS#NN"": 1, ""NNP#NN#NN#NN"": 1}, ""ADJP"": {""JJ"": 1, ""RB#JJ"": 1}, ""VP"": {""VBZ#ADJP"": 2, ""VBG#NP#PP"": 1, ""VB#S"": 1, ""VBP#RB#VP"": 1, ""VP#CC#VP"": 1, ""VBP#SBAR"": 1, ""VBP#NP"": 1, ""VBG#ADVP"": 1, ""VBD#NP"": 1, ""VBN#PP"": 1, ""VBG#S"": 1, ""VBZ#VP"": 1}, ""PP"": {""IN#S"": 1}, ""S"": {""NP#,#SBAR#NP#VP"": 1, ""S#,#CC#S#."": 2, ""ADVP#,#NP#VP"": 1}, ""SBAR"": {""S"": 1, ""IN#S"": 1}}",0.0,0.764,0.236,"{""^"": 8, "","": 7, ""N"": 12, ""O"": 3, ""V"": 8, ""A"": 4, ""&"": 3, ""D"": 6, ""!"": 1, ""P"": 4, ""R"": 3, ""L"": 1}","['{""^"": 8, "","": 7, ""N"": 12, ""O"": 3, ""V"": 8, ""A"": 4, ""&"": 3, ""D"": 6, ""!"": 1, ""P"": 4, ""R"": 3, ""L"": 1}']"
"9/ So Democrats *at their peril* spend the next nine months fawning over media coverage that savages *any* of these folksI don't care if it's Beto or Buttigieg or Castro or Warren or Harris or whoever. That's the point I'll keep hammering home, because apparently no one else is.",279,49,1,25,16,1,0,0,0,0,,"{""NP"": {""CD#NNS"": 1, ""NNPS#NNP"": 1, ""DT#JJ#CD#NNS"": 1, ""NNS#NN"": 1, ""NNP#CC#NNP"": 2, ""NP#CC#NP"": 2, ""NP#SBAR"": 2, ""NP#VP"": 1, ""DT"": 1, ""DT#NN#RB"": 1}, ""ADVP"": {""NP#IN"": 1}, ""X"": {""SYM"": 2}, ""PP"": {""IN#NP#X"": 1}, ""WHNP"": {""WDT"": 1, ""WP"": 1}, ""VP"": {""VBZ#NP"": 2, ""VB#SBAR"": 1, ""VBP#RB#VP"": 1, ""VBZ#SBAR"": 1, ""VBG#PP"": 1, ""VBP#NP"": 1, ""VBG#NP"": 1, ""VBZ"": 1, ""VB#S#,#SBAR"": 1, ""MD#VP"": 1}, ""S"": {""ADVP#NP#VP#."": 1, ""ADVP#NP#VP"": 1}, ""SBAR"": {""IN#S"": 2, ""X#S"": 1, ""SBAR#CC#FRAG"": 1, ""WHNP#S"": 1, ""S"": 1}, ""FRAG"": {""WHNP"": 1}}",0.152,0.848,0.0,"{""$"": 2, ""P"": 7, ""N"": 11, "","": 7, ""D"": 6, ""V"": 7, ""A"": 1, ""L"": 3, ""^"": 5, ""&"": 5, ""R"": 2}","['{""$"": 2, ""P"": 7, ""N"": 11, "","": 7, ""D"": 6, ""V"": 7, ""A"": 1, ""L"": 3, ""^"": 5, ""&"": 5, ""R"": 2}']"
8/ If you ask Democrats what the most exciting POTUS/VPOTUS combos would be electorally and charismatically (assuming it'll be tough for a POTUS nominee to pick outside the Democrats' most talented field ever) you get: Biden/Harris Warren/Castro Harris/O'Rourke Sanders/Buttigieg,279,39,1,18,16,1,0,0,0,0,,"{""NP"": {""CD#NNS"": 1, ""DT#ADJP#NNP#NNS"": 1, ""DT#NNP#NN"": 1, ""DT#NNPS#POS"": 1, ""NP#ADJP#NN"": 1, ""NNP#NNP#NNP#``#NNP#NNP"": 1, ""NP#SBAR"": 1}, ""WHNP"": {""WP"": 1}, ""ADJP"": {""RBS#JJ"": 2, ""JJ"": 1, ""JJ#PP"": 1}, ""VP"": {""VB#ADJP"": 1, ""MD#VP"": 2, ""VB#PP#ADVP"": 1, ""VB#ADJP#S"": 1, ""VBG#SBAR"": 1, ""VBP#:#NP"": 1, ""VBP#NP"": 1}, ""S"": {""ADVP#PRN#NP#VP"": 1, ""S#CC#S"": 1}, ""SBAR"": {""S"": 1, ""WHNP#S"": 1, ""IN#S"": 1}, ""PRN"": {""-LRB-#S#-RRB-"": 1}, ""X"": {""NP#SBAR"": 1}, ""ROOT"": {""X"": 1}}",0.034,0.803,0.163,"{""E"": 1, ""P"": 4, ""O"": 3, ""V"": 7, ""N"": 4, ""D"": 3, ""R"": 5, ""A"": 3, ""^"": 7, ""&"": 1, "","": 4, ""L"": 1}","['{""E"": 1, ""P"": 4, ""O"": 3, ""V"": 7, ""N"": 4, ""D"": 3, ""R"": 5, ""A"": 3, ""^"": 7, ""&"": 1, "","": 4, ""L"": 1}']"
